value;normdata_id;normdata_category;provider;docCount
"Schindler, Fritz";"";"";"Haus des Dokumentarfilms";"1"
"Schinken";"";"";"Haus des Dokumentarfilms";"1"
"Schiraz";"";"";"Haus des Dokumentarfilms";"1"
"Schizophrenie";"4052527-2";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schlachten";"";"";"Haus des Dokumentarfilms";"1"
"Schlachtfeld";"";"";"Haus des Dokumentarfilms";"1"
"Schlachthof";"4125824-1";"avefi:GNDResource";"Haus des Dokumentarfilms, Deutsche Kinemathek - Museum für Film und Fernsehen";"2"
"Schlachtung";"";"";"Haus des Dokumentarfilms";"2"
"Schlafmatte";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Schlafwandeln";"4179666-4";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schlager";"";"";"Haus des Dokumentarfilms";"1"
"Schlagermusik";"4179673-1";"avefi:GNDResource";"Deutsche Kinemathek - Museum für Film und Fernsehen";"1"
"Schlaginstrumente";"";"";"Technische Informationsbibliothek (TIB)";"21"
"Schlagstöcke";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Schlagzeug";"";"";"Haus des Dokumentarfilms";"1"
"Schlangenbann";"";"";"Technische Informationsbibliothek (TIB)";"1"
"Schlangenbeschwörer";"";"";"Haus des Dokumentarfilms";"1"
"Schlepplift";"";"";"Haus des Dokumentarfilms";"2"
